,passedCount,machine,employeeID,timestamp
0,130,Machine One,,2022-10-21 11:25:05
1,150,Toyota,,2022-10-21 11:28:00
0,230,Cadillac,,2022-10-21 11:25:05
0,230,Machine One,,2022-10-21 11:25:05
1,250,Toyota,,2022-10-21 11:28:00
0,230,Cadillac,,2022-10-21 11:25:05
0,230,Machine One,,2022-10-21 11:25:05
1,250,Toyota,,2022-10-21 11:28:00
0,330,Cadillac,,2022-10-21 11:25:05
0,230,Machine One,,2022-10-21 11:25:05
1,250,Toyota,,2022-10-21 11:28:00
0,430,Cadillac,,2022-10-21 11:25:05
0,130,Machine One,,2022-10-21 11:25:05
1,150,Toyota,,2022-10-21 11:28:00
0,230,Cadillac,,2022-10-21 11:25:05
