,passedCount,machine,employeeID,timestamp
0,230,Machine One,,2022-10-21 11:25:05
1,250,Machine Two,,2022-10-21 11:28:00
0,230,Machine One,,2022-10-21 11:25:05
1,250,Machine Two,,2022-10-21 11:28:00
0,230,Machine One,,2022-10-21 11:25:05
1,250,Machine Two,,2022-10-21 11:28:00
0,230,Machine One,,2022-10-21 11:25:05
1,450,Machine Two,,2022-10-21 11:28:00
0,430,Machine One,,2022-10-21 11:25:05
1,250,Machine Two,,2022-10-21 11:28:00
0,230,Machine One,,2022-10-21 11:25:05
1,250,Machine Two,,2022-10-21 11:28:00
0,230,Machine One,,2022-10-21 11:25:05
1,250,Machine Two,,2022-10-21 11:28:00
0,430,Machine One,,2022-10-21 11:25:05
1,450,Machine Two,,2022-10-21 11:28:00
0,230,Machine One,,2022-10-21 11:25:05
1,250,Machine Two,,2022-10-21 11:28:00
0,430,Machine One,,2022-10-21 11:25:05
1,550,Machine Two,,2022-10-21 11:28:00
