,passedCount,machine,employeeID,timestamp
0,330,Machine One,,2022-10-21 11:25:05
1,320,Machine Two,,2022-10-21 11:28:00
0,330,Machine One,,2022-10-21 11:25:05
1,320,Machine Two,,2022-10-21 11:28:00
0,330,Machine One,,2022-10-21 11:25:05
1,320,Machine Two,,2022-10-21 11:28:00
0,330,Machine One,,2022-10-21 11:25:05
1,320,Machine Two,,2022-10-21 11:28:00
0,330,Machine One,,2022-10-21 11:25:05
1,320,Machine Two,,2022-10-21 11:28:00
0,330,Machine One,,2022-10-21 11:25:05
1,320,Machine Two,,2022-10-21 11:28:00
0,30,Machine One,,2022-10-21 11:25:05
1,220,Machine Two,,2022-10-21 11:28:00
0,130,Machine One,,2022-10-21 11:25:05
1,120,Machine Two,,2022-10-21 11:28:00
