,passedCount,machine,employeeID,timestamp
0,230,Cadillac,,2022-10-21 11:25:05
1,100,Ford,,2022-10-21 11:28:00
1,231,Ford,,2022-10-21 11:28:00
1,213,Toyota,,2022-10-21 11:28:00
1,258,Toyota,,2022-10-21 11:28:00
1,250,Toyota,,2022-10-21 11:28:00
1,250,Ford,,2022-10-21 11:28:00
1,290,Ford,,2022-10-21 11:28:00
1,250,Ford,,2022-10-21 11:28:00
1,250,Toyota,,2022-10-21 11:28:00
,231,Ford,,2022-10-21 11:28:00
1,213,Toyota,,2022-10-21 11:28:00
1,258,Toyota,,2022-10-21 11:28:00
1,250,Toyota,,2022-10-21 11:28:00
1,250,Ford,,2022-10-21 11:28:00
1,290,Ford,,2022-10-21 11:28:00
1,250,Ford,,2022-10-21 11:28:00
1,250,Toyota,,2022-10-21 11:28:00
,231,Ford,,2022-10-21 11:28:00
1,213,Toyota,,2022-10-21 11:28:00
1,258,Toyota,,2022-10-21 11:28:00
1,250,Toyota,,2022-10-21 11:28:00
1,250,Ford,,2022-10-21 11:28:00
1,290,Ford,,2022-10-21 11:28:00
1,250,Ford,,2022-10-21 11:28:00
1,250,Toyota,,2022-10-21 11:28:00
,231,Ford,,2022-10-21 11:28:00
1,213,Toyota,,2022-10-21 11:28:00
1,258,Toyota,,2022-10-21 11:28:00
1,250,Toyota,,2022-10-21 11:28:00
1,250,Ford,,2022-10-21 11:28:00
1,290,Ford,,2022-10-21 11:28:00
1,250,Ford,,2022-10-21 11:28:00
1,250,Toyota,,2022-10-21 11:28:00
,231,Ford,,2022-10-21 11:28:00
1,213,Toyota,,2022-10-21 11:28:00
1,258,Toyota,,2022-10-21 11:28:00
1,250,Toyota,,2022-10-21 11:28:00
1,250,Ford,,2022-10-21 11:28:00
1,290,Ford,,2022-10-21 11:28:00
1,250,Ford,,2022-10-21 11:28:00
1,250,Toyota,,2022-10-21 11:28:00
