,passedCount,machine,employeeID,timestamp
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
0,110,Machine One,,2022-10-21 11:25:05
1,280,Machine Two,,2022-10-21 11:28:00
