,passedCount,machine,employeeID,timestamp
0,242,Machine One,,2022-10-21 11:25:05
1,250,Machine Two,,2022-10-21 11:28:00
0,242,Machine One,,2022-10-21 11:25:05
1,300,Machine Two,,2022-10-21 11:28:00
0,242,Machine One,,2022-10-21 11:25:05
1,250,Machine Two,,2022-10-21 11:28:00
0,242,Machine One,,2022-10-21 11:25:05
1,250,Machine Two,,2022-10-21 11:28:00
0,242,Machine One,,2022-10-21 11:25:05
0,242,Machine One,,2022-10-21 11:25:05
1,150,Machine Two,,2022-10-21 11:28:00
0,142,Machine One,,2022-10-21 11:25:05
1,100,Machine Two,,2022-10-21 11:28:00
0,142,Machine One,,2022-10-21 11:25:05
1,250,Machine Two,,2022-10-21 11:28:00
0,242,Machine One,,2022-10-21 11:25:05
1,250,Machine Two,,2022-10-21 11:28:00
0,242,Machine One,,2022-10-21 11:25:05
