,passedCount,machine,employeeID,timestamp
0,230,Machine One,,2022-10-21 11:25:16
0,231,Machine One,,2022-10-21 11:25:16
0,250,Machine One,,2022-10-21 11:25:16
0,260,Machine One,,2022-10-21 11:25:16
0,190,Machine One,,2022-10-21 11:25:16
0,100,Machine One,,2022-10-21 11:25:16
0,190,Machine One,,2022-10-21 11:25:16
0,300,Machine One,,2022-10-21 11:25:16
0,232,Machine One,,2022-10-21 11:25:16
0,200,Machine One,,2022-10-21 11:25:16
1,260,Machine Two,,2022-10-21 11:28:15
1,270,Machine Two,,2022-10-21 11:28:15
1,260,Machine Two,,2022-10-21 11:28:15
1,280,Machine Two,,2022-10-21 11:28:15
1,130,Machine Two,,2022-10-21 11:28:15
1,180,Machine Two,,2022-10-21 11:28:15
1,193,Machine Two,,2022-10-21 11:28:15
1,320,Machine Two,,2022-10-21 11:28:15
1,334,Machine Two,,2022-10-21 11:28:15
1,120,Machine Two,,2022-10-21 11:28:15
